;or;ex;weight
0;init;0_t0;15.389925003051758
1;init;1_t0;14.78311824798584
2;init;2_t0;12.48749828338623
3;init;3_t0;16.052040100097656
4;init;4_t0;15.385616302490234
5;init;5_t0;15.28077220916748
6;init;7_t0;15.579039573669434
7;init;8_t0;15.579039573669434
8;init;10_t0;15.579039573669434
9;init;11_t0;15.579039573669434
10;init;12_t0;15.579039573669434
11;init;13_t0;15.579039573669434
12;init;16_t0;15.579039573669434
13;init;17_t0;15.579039573669434
14;0_t0;0_t1;15.359915733337402
15;0_t0;1_t1;14.777667999267578
16;0_t0;3_t1;16.006319046020508
17;0_t0;4_t1;15.326468467712402
18;0_t0;5_t1;15.236425399780273
19;0_t0;6_t1;12.309941291809082
20;0_t0;7_t1;15.527908325195312
21;0_t0;8_t1;15.527908325195312
22;0_t0;10_t1;15.527908325195312
23;0_t0;11_t1;15.527908325195312
24;0_t0;16_t1;15.527908325195312
25;0_t0;17_t1;15.527908325195312
26;0_t0;18_t1;15.527908325195312
27;0_t0;19_t1;15.527908325195312
28;1_t0;0_t1;15.359915733337402
29;1_t0;1_t1;14.777667999267578
30;1_t0;3_t1;16.006319046020508
31;1_t0;4_t1;15.326468467712402
32;1_t0;5_t1;15.236425399780273
33;1_t0;7_t1;15.527908325195312
34;1_t0;8_t1;15.527908325195312
35;1_t0;9_t1;11.889815330505371
36;1_t0;10_t1;15.527908325195312
37;1_t0;11_t1;15.527908325195312
38;1_t0;16_t1;15.527908325195312
39;1_t0;17_t1;15.527908325195312
40;1_t0;21_t1;15.527908325195312
41;1_t0;22_t1;15.527908325195312
42;2_t0;2_t1;12.414977073669434
43;2_t0;3_t1;16.006319046020508
44;2_t0;4_t1;15.326468467712402
45;2_t0;6_t1;12.309941291809082
46;2_t0;9_t1;11.889815330505371
47;2_t0;12_t1;15.527908325195312
48;2_t0;13_t1;15.527908325195312
49;2_t0;15_t1;11.902831077575684
50;2_t0;18_t1;15.527908325195312
51;2_t0;19_t1;15.527908325195312
52;2_t0;21_t1;15.527908325195312
53;2_t0;22_t1;15.527908325195312
54;2_t0;25_t1;15.527908325195312
55;2_t0;26_t1;15.527908325195312
56;3_t0;0_t1;15.359915733337402
57;3_t0;1_t1;14.777667999267578
58;3_t0;2_t1;12.414977073669434
59;3_t0;3_t1;16.006319046020508
60;3_t0;5_t1;15.236425399780273
61;3_t0;7_t1;15.527908325195312
62;3_t0;10_t1;15.527908325195312
63;3_t0;12_t1;15.527908325195312
64;3_t0;14_t1;15.899148941040039
65;3_t0;16_t1;15.527908325195312
66;3_t0;20_t1;15.527908325195312
67;3_t0;23_t1;15.527908325195312
68;3_t0;24_t1;15.527908325195312
69;3_t0;27_t1;15.527908325195312
70;4_t0;0_t1;15.359915733337402
71;4_t0;1_t1;14.777667999267578
72;4_t0;2_t1;12.414977073669434
73;4_t0;4_t1;15.326468467712402
74;4_t0;5_t1;15.236425399780273
75;4_t0;8_t1;15.527908325195312
76;4_t0;11_t1;15.527908325195312
77;4_t0;13_t1;15.527908325195312
78;4_t0;14_t1;15.899148941040039
79;4_t0;17_t1;15.527908325195312
80;4_t0;20_t1;15.527908325195312
81;4_t0;23_t1;15.527908325195312
82;4_t0;24_t1;15.527908325195312
83;4_t0;27_t1;15.527908325195312
84;5_t0;0_t1;15.359915733337402
85;5_t0;1_t1;14.777667999267578
86;5_t0;3_t1;16.006319046020508
87;5_t0;4_t1;15.326468467712402
88;5_t0;5_t1;15.236425399780273
89;5_t0;7_t1;15.527908325195312
90;5_t0;8_t1;15.527908325195312
91;5_t0;10_t1;15.527908325195312
92;5_t0;11_t1;15.527908325195312
93;5_t0;15_t1;11.902831077575684
94;5_t0;16_t1;15.527908325195312
95;5_t0;17_t1;15.527908325195312
96;5_t0;25_t1;15.527908325195312
97;5_t0;26_t1;15.527908325195312
98;7_t0;0_t1;15.359915733337402
99;7_t0;1_t1;14.777667999267578
100;7_t0;3_t1;16.006319046020508
101;7_t0;5_t1;15.236425399780273
102;7_t0;6_t1;12.309941291809082
103;7_t0;7_t1;15.527908325195312
104;7_t0;10_t1;15.527908325195312
105;7_t0;14_t1;15.899148941040039
106;7_t0;16_t1;15.527908325195312
107;7_t0;18_t1;15.527908325195312
108;7_t0;20_t1;15.527908325195312
109;7_t0;23_t1;15.527908325195312
110;7_t0;27_t1;15.527908325195312
111;7_t0;28_t1;15.527908325195312
112;8_t0;0_t1;15.359915733337402
113;8_t0;1_t1;14.777667999267578
114;8_t0;4_t1;15.326468467712402
115;8_t0;5_t1;15.236425399780273
116;8_t0;6_t1;12.309941291809082
117;8_t0;8_t1;15.527908325195312
118;8_t0;11_t1;15.527908325195312
119;8_t0;14_t1;15.899148941040039
120;8_t0;17_t1;15.527908325195312
121;8_t0;19_t1;15.527908325195312
122;8_t0;20_t1;15.527908325195312
123;8_t0;23_t1;15.527908325195312
124;8_t0;27_t1;15.527908325195312
125;8_t0;28_t1;15.527908325195312
126;10_t0;0_t1;15.359915733337402
127;10_t0;1_t1;14.777667999267578
128;10_t0;3_t1;16.006319046020508
129;10_t0;5_t1;15.236425399780273
130;10_t0;7_t1;15.527908325195312
131;10_t0;9_t1;11.889815330505371
132;10_t0;10_t1;15.527908325195312
133;10_t0;14_t1;15.899148941040039
134;10_t0;16_t1;15.527908325195312
135;10_t0;20_t1;15.527908325195312
136;10_t0;21_t1;15.527908325195312
137;10_t0;23_t1;15.527908325195312
138;10_t0;27_t1;15.527908325195312
139;10_t0;29_t1;15.527908325195312
140;11_t0;0_t1;15.359915733337402
141;11_t0;1_t1;14.777667999267578
142;11_t0;4_t1;15.326468467712402
143;11_t0;5_t1;15.236425399780273
144;11_t0;8_t1;15.527908325195312
145;11_t0;9_t1;11.889815330505371
146;11_t0;11_t1;15.527908325195312
147;11_t0;14_t1;15.899148941040039
148;11_t0;17_t1;15.527908325195312
149;11_t0;20_t1;15.527908325195312
150;11_t0;22_t1;15.527908325195312
151;11_t0;23_t1;15.527908325195312
152;11_t0;27_t1;15.527908325195312
153;11_t0;29_t1;15.527908325195312
154;12_t0;2_t1;12.414977073669434
155;12_t0;3_t1;16.006319046020508
156;12_t0;6_t1;12.309941291809082
157;12_t0;9_t1;11.889815330505371
158;12_t0;12_t1;15.527908325195312
159;12_t0;14_t1;15.899148941040039
160;12_t0;15_t1;11.902831077575684
161;12_t0;18_t1;15.527908325195312
162;12_t0;21_t1;15.527908325195312
163;12_t0;24_t1;15.527908325195312
164;12_t0;25_t1;15.527908325195312
165;12_t0;28_t1;15.527908325195312
166;12_t0;29_t1;15.527908325195312
167;12_t0;30_t1;15.527908325195312
168;13_t0;2_t1;12.414977073669434
169;13_t0;4_t1;15.326468467712402
170;13_t0;6_t1;12.309941291809082
171;13_t0;9_t1;11.889815330505371
172;13_t0;13_t1;15.527908325195312
173;13_t0;14_t1;15.899148941040039
174;13_t0;15_t1;11.902831077575684
175;13_t0;19_t1;15.527908325195312
176;13_t0;22_t1;15.527908325195312
177;13_t0;24_t1;15.527908325195312
178;13_t0;26_t1;15.527908325195312
179;13_t0;28_t1;15.527908325195312
180;13_t0;29_t1;15.527908325195312
181;13_t0;30_t1;15.527908325195312
182;16_t0;0_t1;15.359915733337402
183;16_t0;1_t1;14.777667999267578
184;16_t0;3_t1;16.006319046020508
185;16_t0;5_t1;15.236425399780273
186;16_t0;7_t1;15.527908325195312
187;16_t0;10_t1;15.527908325195312
188;16_t0;14_t1;15.899148941040039
189;16_t0;15_t1;11.902831077575684
190;16_t0;16_t1;15.527908325195312
191;16_t0;20_t1;15.527908325195312
192;16_t0;23_t1;15.527908325195312
193;16_t0;25_t1;15.527908325195312
194;16_t0;27_t1;15.527908325195312
